Source,Target,BLEU,chrF,Num_Samples
Bengali,English,5.802958785289629,36.35723930579922,50
Bengali,Hindi,4.191956809488358,27.807111284726165,50
Bengali,Urdu,3.4696717520886833,23.667177062069673,50
Bengali,Telugu,1.5173246735184245,19.106200541791736,50
Bengali,Gujarati,1.1948875016960177,18.381486459822106,50
Bengali,Odia,0.8315297203615741,14.636193886703111,50
Bengali,Marathi,0.8074026755293163,20.726063258287127,50
Bengali,Punjabi,0.8038701647205645,15.997194588882776,50
Bengali,Nepali,0.6075370191811649,21.34944182582979,50
Bengali,Tamil,0.5600984744231241,20.218196098546873,50
Bengali,Assamese,0.5349076839544437,19.029728340072246,50
Bengali,Kannada,0.4913130643386705,16.734236691977987,50
Bengali,Malayalam,0.4297354034368064,16.80939850605476,50
Bengali,Sanskrit,0.20165665961057253,13.821989093546213,50
