Source,Target,BLEU,chrF,Num_Samples
Telugu,Hindi,5.501079454242068,27.258313182122063,50
Telugu,English,4.488323964956772,33.0742587366596,50
Telugu,Urdu,2.303115927909039,19.752707394346054,50
Telugu,Tamil,1.1280901401616925,19.449889875002892,50
Telugu,Gujarati,0.8696316873571223,18.51614560407669,50
Telugu,Bengali,0.840885004340125,20.935439001080407,50
Telugu,Malayalam,0.7677259245720839,17.59621622855014,50
Telugu,Punjabi,0.7159738608821512,14.571793649920364,50
Telugu,Nepali,0.422167194540625,19.73619658479404,50
Telugu,Marathi,0.37394609696295766,15.931752973731273,50
Telugu,Assamese,0.35436385367838547,14.732703103663153,50
Telugu,Kannada,0.29881212300926835,18.55117533576978,50
Telugu,Odia,0.1599841254101051,12.434650704075054,50
Telugu,Sanskrit,0.06092890409899549,12.735032926585955,50
