Source,Target,BLEU,chrF,Num_Samples
English,Hindi,6.305836587007191,29.15725424204776,50
English,Bengali,2.4529440914758958,24.148498328934316,50
English,Urdu,1.9852029274546499,14.08457227589088,50
English,Gujarati,1.6628548792302502,16.94910167407907,50
English,Marathi,1.1233397753162186,19.15313620010256,50
English,Punjabi,0.9556329998853609,16.913518534597323,50
English,Tamil,0.9274822873819365,23.01666163706986,50
English,Nepali,0.7397420286475462,16.75339431803092,50
English,Assamese,0.5646146700894581,17.307190676044957,50
English,Kannada,0.540813943995744,19.808439007137622,50
English,Odia,0.27573669275055546,9.75409421924829,50
English,Telugu,0.2294033800809654,11.997515122159605,50
English,Malayalam,0.09599233617107712,8.391836537387027,50
English,Sanskrit,0.07501807048113698,10.835262343370236,50
