Source,Target,BLEU,chrF,Num_Samples
English,Hindi,9.158808872511873,31.621414213240374,50
English,Urdu,6.074478199078652,25.661039483314234,50
English,Bengali,5.170577786658323,28.169349119555733,50
English,Telugu,2.4115031580264588,21.093835778240962,50
English,Nepali,1.7977550937713767,24.41130944294394,50
English,Marathi,1.7369811637192432,24.779607566809133,50
English,Gujarati,1.657039015662417,20.07144253667854,50
English,Tamil,1.5138816343880088,22.703301799185198,50
English,Assamese,1.3065349924300984,20.06461017313271,50
English,Punjabi,1.1735790536103483,16.224789512742728,50
English,Kannada,0.7844912505132277,18.556478545671393,50
English,Malayalam,0.6299323201026312,18.34656905202995,50
English,Odia,0.2239150511622838,12.883013773303212,50
English,Sanskrit,0.1706724245421621,18.747590070461666,50
