Source,Target,BLEU,chrF,Num_Samples
Telugu,Hindi,7.072568489700278,33.11132254021789,50
Telugu,English,6.412872396832701,36.40090672337239,50
Telugu,Urdu,5.527735226851222,28.28942322902198,50
Telugu,Bengali,2.283530384973491,25.934183355669806,50
Telugu,Gujarati,1.9545183301381257,21.189849689516652,50
Telugu,Tamil,1.634760373765273,25.677105152362056,50
Telugu,Nepali,1.6328458941041855,26.16560691861432,50
Telugu,Assamese,1.2856526621356452,19.24200901125249,50
Telugu,Punjabi,1.1823548759487008,17.729843791152586,50
Telugu,Kannada,1.0232215459936354,22.708454812250782,50
Telugu,Sanskrit,0.8565935865594042,21.927684952549225,50
Telugu,Marathi,0.7320426596056003,25.80875605748884,50
Telugu,Malayalam,0.4861154142836203,20.10156085717487,50
Telugu,Odia,0.34931747608172714,13.459046379028289,50
