Source,Target,BLEU,chrF,Num_Samples
Bengali,English,8.693286578686646,40.905407103681604,50
Bengali,Hindi,7.32394647731873,34.25406418151677,50
Bengali,Urdu,6.3099435786405875,29.521039727403032,50
Bengali,Gujarati,2.1608549321294555,21.79695039536235,50
Bengali,Marathi,1.9676147209132202,28.70490201918054,50
Bengali,Telugu,1.4360223658834446,20.05739698904467,50
Bengali,Punjabi,1.431955031866723,18.33329447468066,50
Bengali,Nepali,1.4069978121750266,29.709386411060894,50
Bengali,Tamil,1.150211474858558,24.783479809453276,50
Bengali,Malayalam,0.946930476184106,18.17287977956418,50
Bengali,Assamese,0.8724518565208148,20.917627779004803,50
Bengali,Kannada,0.7670568382116982,20.18750637557098,50
Bengali,Odia,0.6528497144597436,14.982693185869467,50
Bengali,Sanskrit,0.40788043438822696,21.655731359473513,50
