Source,Target,BLEU,chrF,Num_Samples
Hindi,Urdu,10.485543419267755,33.25461301181794,50
Hindi,English,8.664780222429451,40.28963106515479,50
Hindi,Nepali,3.7549622644948752,31.117391265260082,50
Hindi,Gujarati,3.573724519451878,23.327951931377495,50
Hindi,Marathi,3.5150048228584527,29.695463286034276,50
Hindi,Assamese,3.1939995258858365,22.078683004431397,50
Hindi,Punjabi,1.923952310661145,21.07381972258378,50
Hindi,Bengali,1.8645293140529016,29.399687061976216,50
Hindi,Telugu,1.7782962405475016,22.00042125477002,50
Hindi,Kannada,1.0438699861723668,20.44129855956248,50
Hindi,Malayalam,0.7123719127501466,18.824052002792953,50
Hindi,Odia,0.5230544666811487,14.327880203338974,50
Hindi,Tamil,0.49146254972005887,22.62721434448512,50
Hindi,Sanskrit,0.1722854351781938,21.679607081715027,50
